Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2021-08-03 01:46:45;2021-08-03 07:02:48;59%;73%;Good;53;10018;Normal;99.7;Hermiston;34.8;18963.0;18078.1;379.3;2021-08-03 07:10:00;2021-08-03 07:40:00;true;63.8;78.6;Sunny;Energy Drink - During Day:Good day:Late Night Gaming:Late Night TV:Tired
2021-08-05 02:28:26;2021-08-05 07:17:25;54%;91%;Good;49;4505;Normal;99.0;Hermiston;39.9;17339.1;16183.2;346.8;2021-08-05 07:10:00;2021-08-05 07:40:00;true;91.8;76.3;Fair;Energy Drink - During Day:Good day:Late Night TV:Tired
2021-08-05 23:59:12;2021-08-06 06:32:13;74%;83%;Good;51;2258;Normal;99.3;Hermiston;13.5;23581.8;21145.0;1965.1;2021-08-06 06:25:00;2021-08-06 06:55:00;true;0.0;73.4;Fair;Ate late:Good day:Late Night Gaming:Tired
2021-08-07 03:28:50;2021-08-07 07:02:50;40%;70%;Good;57;17269;Normal;99.5;Hermiston;8.0;12839.5;12582.7;256.8;2021-08-07 07:00:00;2021-08-07 07:00:00;true;0.0;70.3;Sunny;Energy Drink - During Day:Good day:Headache:Late Night TV:Stressful day:Tired:Worked out
2021-08-08 23:40:07;2021-08-09 09:12:19;100%;58%;Good;60;4572;No alarm;99.8;Hermiston;9.0;34332.1;33073.2;1258.8;;;true;0.0;65.7;Sunny;Good day:Headache:Late Night Gaming:Nap:Tired
2021-08-11 04:20:09;2021-08-11 06:00:48;19%;35%;Good;62;6695;Normal;99.7;Hermiston;48.9;6038.2;5917.5;120.8;2021-08-11 05:30:00;2021-08-11 06:00:00;true;0.0;74.3;Fair;Ate late:Energy Drink - During Day:Good day:Late Night Gaming:Tired:Worked out
2021-08-13 01:59:20;2021-08-13 06:49:28;54%;74%;Good;0;5288;Normal;99.6;Hermiston;20.3;17408.5;10909.3;2843.4;2021-08-13 08:00:00;2021-08-13 08:00:00;true;197.8;77.9;Partly cloudy;Ate late:Good day:Late Night TV:Tired:Worked out
2021-08-14 01:33:37;2021-08-14 08:36:00;79%;78%;Good;57;10008;Normal;99.7;Hermiston;18.1;25342.4;22723.7;1689.5;2021-08-14 08:30:00;2021-08-14 09:00:00;true;60.0;87.1;Sunny;Ate late:Good day:Late Night TV:Tired:Worked out
2021-08-15 02:41:00;2021-08-15 09:54:29;81%;81%;Good;59;11023;Normal;99.6;Hermiston;40.3;26009.4;22021.3;520.2;2021-08-15 09:30:00;2021-08-15 10:00:00;true;0.0;78.8;Fair;Ate late:Energy Drink - During Day:Good day:Late Night TV:Tired:Worked out
2021-08-16 01:42:08;2021-08-16 06:36:15;55%;75%;Good;57;3715;Normal;99.2;Hermiston;24.9;17646.2;13587.6;3235.1;2021-08-16 06:30:00;2021-08-16 07:00:00;true;240.0;79.0;Sunny;Ate late:Good day:Late Night TV:Tired
2021-08-17 01:16:46;2021-08-17 08:10:51;77%;76%;Good;55;7397;No alarm;98.8;Hermiston;20.7;24844.9;21366.7;2815.8;;;true;0.0;67.1;Fair;Good day:Late Night TV:Swam:Tired
2021-08-19 03:50:18;2021-08-19 06:50:28;33%;75%;Good;55;2535;Normal;99.6;Hermiston;31.3;10810.1;8972.4;216.2;2021-08-19 06:30:00;2021-08-19 07:00:00;true;938.1;64.2;Sunny;Good day:Headache:Late Night Gaming:Tired
2021-08-20 01:12:43;2021-08-20 09:21:25;90%;62%;Good;53;3878;No alarm;94.7;Tieton;8.5;29322.3;28735.9;586.4;;;true;0.0;60.3;Sunny;Energy Drink - During Day:Good day:Late Night TV:Tired
